id,title,text,label
1,Breaking: Government launches new AI policy,The government has introduced a new AI policy to boost innovation and regulate usage.,REAL
2,Aliens landed in New York City,Multiple viral posts claim aliens were seen walking in NYC streets last night.,FAKE
3,Scientists discover cure for rare disease,Researchers announced a breakthrough treatment after years of study.,REAL
4,Drinking salt water cures COVID-19,Social media falsely claims that salt water can cure COVID-19.,FAKE
5,Stock market hits record high,Global markets reached an all-time high due to economic recovery.,REAL
6,Man builds time machine in garage,A viral article claims a man created a time machine at home.,FAKE
7,New education policy announced,Government plans major reforms to improve education quality.,REAL
8,Celebrity adopts 200 children,Fake news spreads about a celebrity adopting hundreds of children.,FAKE
9,Electric vehicles reduce pollution,Studies confirm EVs help reduce carbon emissions significantly.,REAL
10,Invisible cloak becomes reality,A fake report claims scientists created a real invisibility cloak.,FAKE
11,Farmers benefit from new subsidy scheme,Government introduces subsidies to support small farmers.,REAL
12,5G towers spread viruses,Conspiracy theories falsely link 5G technology to virus spread.,FAKE
13,Healthcare system upgraded nationwide,New investments improve hospitals and healthcare services.,REAL
14,Humans can live up to 200 years now,False claims circulate about humans achieving 200-year lifespan.,FAKE
15,Space mission successfully launched,A new satellite was successfully launched into orbit.,REAL
